hora;ultrasonido;laser;muro
5:57:58 p. m.;194233;116.5;concavo
5:58:02 p. m.;194218;115.2;concavo
5:58:09 p. m.;175488;124.7;concavo
5:58:12 p. m.;194215;123.8;concavo
5:58:19 p. m.;81524;148.3;concavo
5:58:22 p. m.;119011;147.9;concavo
5:58:28 p. m.;59608;166.1;concavo
5:58:31 p. m.;137847;163;concavo
5:58:38 p. m.;24873;186.1;concavo
5:58:39 p. m.;24909;186;concavo
5:58:45 p. m.;3621;203.3;concavo
5:58:47 p. m.;1282;202.4;concavo
5:58:52 p. m.;1353;222.7;concavo
5:58:54 p. m.;1330;222;concavo
5:59:00 p. m.;1483;248.4;concavo
5:59:01 p. m.;1488;252.1;concavo
5:59:06 p. m.;1613;267.3;concavo
5:59:08 p. m.;1585;266.9;concavo
6:05:36 p. m.;1660;287.6;concavo
6:05:37 p. m.;1655;286.8;concavo
6:05:43 p. m.;1776;312;concavo
6:05:44 p. m.;1787;311.5;concavo
6:05:49 p. m.;1850;324.8;concavo
6:05:51 p. m.;1827;323.9;concavo
6:05:58 p. m.;1959;345.2;concavo
6:05:59 p. m.;1954;346.6;concavo
6:06:05 p. m.;2104;364.8;concavo
6:06:06 p. m.;2081;365.4;concavo
6:06:12 p. m.;2203;391.2;concavo
6:06:14 p. m.;2205;391.9;concavo
6:06:19 p. m.;2286;405.5;concavo
6:06:20 p. m.;2290;405.5;concavo
6:06:26 p. m.;2408;428;concavo
6:06:28 p. m.;2420;429.4;concavo
6:06:33 p. m.;2566;453.6;concavo
6:06:35 p. m.;2565;452.9;concavo
6:06:42 p. m.;155900;464.2;concavo
6:06:45 p. m.;194199;463.9;concavo
6:11:34 p. m.;194204;483;concavo
6:11:38 p. m.;194202;480.3;concavo
6:11:44 p. m.;2887;509.4;concavo
6:11:45 p. m.;2897;506.1;concavo
6:11:51 p. m.;3001;534.1;concavo
6:11:53 p. m.;3006;533.1;concavo
6:11:58 p. m.;3049;546.1;concavo
6:11:59 p. m.;3039;545.6;concavo
6:12:05 p. m.;3219;567.7;concavo
6:12:07 p. m.;3203;568;concavo
6:12:11 p. m.;3279;580;concavo
6:12:13 p. m.;3281;580.9;concavo
6:12:19 p. m.;3517;604.1;concavo
6:12:20 p. m.;3443;604.5;concavo
6:12:26 p. m.;3711;626.4;concavo
6:12:28 p. m.;3669;625.9;concavo
6:14:32 p. m.;692;123.5;convexo
