hora;ultrasonido;laser;real
4:47:17 p. m.;1289;238.4;20
4:47:18 p. m.;1288;237.1;20
4:47:20 p. m.;1289;237.3;20
4:47:22 p. m.;1288;237.1;20
4:47:23 p. m.;1289;237.7;20
4:47:25 p. m.;1288;237.7;20
4:47:27 p. m.;1288;238;20
4:47:28 p. m.;1288;236.9;20
4:47:30 p. m.;1288;236.6;20
4:47:31 p. m.;1288;238;20
4:47:33 p. m.;1291;238.1;20
4:47:35 p. m.;1310;237.1;20
4:47:36 p. m.;1302;237.5;20
4:47:38 p. m.;1309;237.1;20
4:47:40 p. m.;1290;237;20
4:47:41 p. m.;1312;237;20
4:47:43 p. m.;1312;237.3;20
4:47:44 p. m.;1313;237.3;20
4:47:46 p. m.;1313;237.7;20
4:47:48 p. m.;1313;237.1;20
4:47:49 p. m.;1291;237.5;20
4:47:51 p. m.;1302;237.3;20
4:47:53 p. m.;1292;236;20
4:47:54 p. m.;1289;236.2;20
4:47:56 p. m.;1288;236.7;20
4:47:58 p. m.;1288;237.7;20
4:47:59 p. m.;1293;236.2;20
4:48:01 p. m.;1288;235.9;20
4:48:02 p. m.;1288;237.5;20
4:48:04 p. m.;1288;237.6;20
4:48:06 p. m.;1288;236.3;20
4:48:07 p. m.;1288;237.1;20
4:48:09 p. m.;1288;236.4;20
4:48:11 p. m.;1289;236.5;20
4:48:12 p. m.;1288;236.8;20
4:48:14 p. m.;1287;236.9;20
4:48:15 p. m.;1289;238;20
4:48:17 p. m.;1293;236.3;20
4:48:19 p. m.;1291;236.8;20
4:48:20 p. m.;1288;236.7;20
4:48:22 p. m.;1288;237.2;20
4:48:24 p. m.;1288;236.5;20
4:48:25 p. m.;1288;236.7;20
